Title	Authors	Pdf
"Building a WSD module within an MT system to enable interactive resolution in the user’s source language"	"Orasan, Constantin and Marshall, Ted and Clark, Robert and Ha, Le An and Mitkov, Ruslan"	http://www.mt-archive.info/05/EAMT-2005-Orasan.pdf
"Exploiting phrasal lexica and additional morpho-syntactic language resources for statistical machine translation with scarce training data"	"Popovic, Maja and Ney, Hermann"	http://www.mt-archive.info/05/EAMT-2005-Popovic.pdf
"An approach to machine translation via the rule-to-rule hypothesis"	"Prószéky, Gábor"	http://www.mt-archive.info/05/EAMT-2005-Proszeky.pdf
"Linguistic representation of Finnish in a limited domain speech-to-speech translation system"	"Santaholma, Marianne"	http://www.mt-archive.info/05/EAMT-2005-Santaholma.pdf
"Integrating CAT and MT in AnglaBhart-II architecture"	"Sinha, K. And Mahesh, R. "	http://www.mt-archive.info/05/EAMT-2005-Sinha-1.pdf
"Translation divergence in English-Hindi MT"	"Sinha, K. And Mahesh, R. And Thakur, Anil"	http://www.mt-archive.info/05/EAMT-2005-Sinha-2.pdf
"Lexicon-coding workflow at CLS Communication"	"Stadler, Hans-Udo"	http://www.mt-archive.info/05/EAMT-2005-Stadler.pdf
"Application of word-level confidence measures in interactive statistical machine translation"	"Ueffing, Nicola and Ney, Hermann"	http://www.mt-archive.info/05/EAMT-2005-Ueffing.pdf
"Considerations in maximum mutual information and minimum classification error training for statistical machine translation"	"Vengupol, Ashish and Vogel, Stephan"	http://www.mt-archive.info/05/EAMT-2005-Venugopal.pdf
"Sentence segmentation using IBM word alignment model 1"	"Xu, Jia and Zens, Richard and Ney, Hermann"	http://www.mt-archive.info/05/EAMT-2005-Xu.pdf
"Initial considerations in building a speech-to-speech translation system for the Slovenian-English language pair"	"ŽganecGros, J. and Mihelič, A. and Žganec, M. and Mihelič, F. and Dobrišek, S. and Žibert, J. and Vintar, Š. and Korošec, T. and Erjavec, T. and Romih, and M."	http://www.mt-archive.info/05/EAMT-2005-Zganec-Gros.pdf
"An efficient phrase-to-phrase alignment model for arbitrarily long phrase and large corpora"	"Zhang, Ying and Vogel, Stephan"	http://www.mt-archive.info/05/EAMT-2005-Zhang.pdf
"MT News International  no. 35"		http://www.mt-archive.info/05/MTNI-35.pdf
