Title	Authors	Pdf	Presentation	Volume_Name
"Building Translation Awareness in Occasional Authors: A User Case from Japan"	"Tatsumi, M. and Hartley, A. and Isahara, H. and Kageura, K. and Okamoto, T. and Shimizu, K."	http://www.mt-archive.info/10/EAMT-2012-Tatsumi.pdf		"User Papers"
"Efficiency‐based evaluation of aligners for industrial applications"	"Toral, A. and Poch, M. and Pecina, P. and Thurmair, G."	http://www.mt-archive.info/10/EAMT-2012-Toral-1.pdf		"User Papers"
"Evaluation of Machine‐Translated User Generated Content: A pilot study based on User Ratings"	"Mitchell, L. and Roturier, J."	http://www.mt-archive.info/10/EAMT-2012-Mitchell.pdf		"User Papers"
"A Machine Translation Toolchain for Polysynthetic Languages"	"Homola, P."	http://www.mt-archive.info/10/EAMT-2012-Homola.pdf		"User Papers"
"EASTIN‐CL: A multilingual front‐end to a database of Assistive Technology products"	"Thurmair, G. and Agnoletto, A. and Gower, V. and Rozis, R."	http://www.mt-archive.info/10/EAMT-2012-Thurmair-1.pdf		"User Papers"
"Towards the Integration of MT into a LSP Translation Workflow"	"Vilar, D. and Schneider, M. and Burchardt, A. and Wedde, T."	http://www.mt-archive.info/10/EAMT-2012-Vilar.pdf		"User Papers"
"Context‐Aware Machine Translation for Software Localization"	"Muntés‐Mulero, V. and Paladini Adell, P. and España‐Bonet, C. and Màrquez, L."	http://www.mt-archive.info/10/EAMT-2012-Muntes-Mulero.pdf		"User Papers"
Virtus™		http://www.mt-archive.info/10/EAMT-2012-VIRTUS.pdf		"Project Papers"
MOLTO		http://www.mt-archive.info/10/EAMT-2012-MOLTO.pdf		"Project Papers"
AIDA		http://www.mt-archive.info/10/EAMT-2012-AIDA.pdf		"Project Papers"
CESAR		http://www.mt-archive.info/10/EAMT-2012-CESAR.pdf		"Project Papers"
BOLOGNA		http://www.mt-archive.info/10/EAMT-2012-BOLOGNA.pdf		"Project Papers"
ACCEPT		http://www.mt-archive.info/10/EAMT-2012-ACCEPT.pdf		"Poster Session 2 – Project Papers"
PANACEA		http://www.mt-archive.info/10/EAMT-2012-PANACEA.pdf		"Poster Session 2 – Project Papers"
ATLAS		http://www.mt-archive.info/10/EAMT-2012-ATLAS-1.pdf		"Poster Session 2 – Project Papers"
FAUST		http://www.mt-archive.info/10/EAMT-2012-FAUST.pdf		"Poster Session 2 – Project Papers"
EU-BRIDGE		http://www.mt-archive.info/10/EAMT-2012-EU-BRIDGE.pdf		"Poster Session 2 – Project Papers"
"GF Eclipse"		http://www.mt-archive.info/10/EAMT-2012-GF-Eclipse.pdf		"Poster Session 2 – Project Papers"
CrossLang		http://www.mt-archive.info/10/EAMT-2012-CrossLang.pdf		"Poster Session 2 – Project Papers"
"Embedding Machine Translation in ATLAS Content Management System"		http://www.mt-archive.info/10/EAMT-2012-ATLAS-2.pdf		"Poster Session 2 – Project Papers"
TTC		http://www.mt-archive.info/10/EAMT-2012-TTC.pdf		"Poster Session 2 – Project Papers"
"Confident MT"		http://www.mt-archive.info/10/EAMT-2012-ConfidentMT.pdf		"Poster Session 2 – Project Papers"
PET		http://www.mt-archive.info/10/EAMT-2012-PET.pdf		"Poster Session 2 – Project Papers"
LetsMT		http://www.mt-archive.info/10/EAMT-2012-LetsMT.pdf		"Poster Session 2 – Project Papers"
"Cross‐lingual Sentence Compression for Subtitles"	"Aziz, W. and de Sousa, S. C. M. and Specia, L."	http://www.mt-archive.info/10/EAMT-2012-Aziz.pdf		"Oral Session 3 – Research Papers"
"Can Automatic Post‐Editing Make MT More Meaningful"	"Parton, K. and Habash, N. and McKeown, K. and Iglesias, G. and de Gispert, A."	http://www.mt-archive.info/10/EAMT-2012-Parton.pdf		"Oral Session 3 – Research Papers"
"Evaluating User Preferences in Machine Translation Using Conjoint Analysis"	"Kirchhoff, K. and Capurro, D. and Turner, A."	http://www.mt-archive.info/10/EAMT-2012-Kirchhoff.pdf		"Oral Session 3 – Research Papers"
"Cascaded Phrase‐Based Statistical Machine Translation Systems"	"Tufiş, D. and Dumitrescu, S.D."	http://www.mt-archive.info/10/EAMT-2012-Tufis.pdf		"Poster Session 3  – Research Papers"
"Hybrid Parallel Sentence Mining from Comparable Corpora"	"Ștefănescu, D. and Ion, R. and Hunsicker, S."	http://www.mt-archive.info/10/EAMT-2012-Stefanescu.pdf		"Poster Session 3  – Research Papers"
"Domain Adaptation of Statistical Machine Translation using Web‐Crawled Resources: A Case Study"	"Pecina, P. and Toral, A. and Papavassiliou, V. and Prokopidis, P. and van Genabith, J."	http://www.mt-archive.info/10/EAMT-2012-Pecina.pdf		"Poster Session 3  – Research Papers"
"Relevance Ranking for Translated Texts"	"Turchi, M. and Steinberger, J. and Specia, L."	http://www.mt-archive.info/10/EAMT-2012-Turchi-1.pdf		"Poster Session 3  – Research Papers"
"Automatic Tune Set Generation for Machine Translation with Limited Indomain Data"	"Chen, J. and Devlin, J. and Cao, H. and Prasad, R. and Natarajan, P."	http://www.mt-archive.info/10/EAMT-2012-Chen.pdf		"Poster Session 3  – Research Papers"
"Domain Adaptation in SMT of User‐Generated Forum Content Guided by OOV Word Reduction: Normalization and/or Supplementary Data"	"Banerjee, P. and Naskar, S. K. and Roturier, J. and Way, A. and van Genabith, J."	http://www.mt-archive.info/10/EAMT-2012-Banerjee.pdf		"Poster Session 3  – Research Papers"
"Long‐distance reordering during search for hierarchical phrase‐based SMT"	"Braune, F. and Gojun, A. and Fraser, A."	http://www.mt-archive.info/10/EAMT-2012-Braune.pdf		"Poster Session 3  – Research Papers"
"Mixture‐Modeling with Unsupervised Clusters for Domain Adaptation in Statistical Machine Translation"	"Sennrich, R."	http://www.mt-archive.info/10/EAMT-2012-Sennrich.pdf		"Poster Session 3  – Research Papers"
"Extending CCG‐based Syntactic Constraints in Hierarchical Phrase‐Based SMT"	"Almaghout, H. and Jiang, J. and Way, A."	http://www.mt-archive.info/10/EAMT-2012-Almaghout.pdf		"Poster Session 3  – Research Papers"
MosesCore		http://www.mt-archive.info/10/EAMT-2012-MosesCore.pdf		"Poster Session 3  – Project Papers"
MateCat		http://www.mt-archive.info/10/EAMT-2012-MateCat.pdf		"Poster Session 3  – Project Papers"
SUMAT		http://www.mt-archive.info/10/EAMT-2012-SUMAT.pdf		"Poster Session 3  – Project Papers"
TransLectures		http://www.mt-archive.info/10/EAMT-2012-transLectures.pdf		"Poster Session 3  – Project Papers"
ACCURAT		http://www.mt-archive.info/10/EAMT-2012-ACCURAT.pdf		"Poster Session 3  – Project Papers"
CoSyne		http://www.mt-archive.info/10/EAMT-2012-CoSyne.pdf		"Poster Session 3  – Project Papers"
LT-Innovate		http://www.mt-archive.info/10/EAMT-2012-LT-innovate.pdf		"Poster Session 3  – Project Papers"
TOSCA-MP		http://www.mt-archive.info/10/EAMT-2012-TOSCA-MP.pdf		"Poster Session 3  – Project Papers"
Organic.Lingua		http://www.mt-archive.info/10/EAMT-2012-OrganicLingua.pdf		"Poster Session 3  – Project Papers"
"Flexible finite-state lexical selection for rule-based machine translation"	"Tyers, F. M. and Sánchez‐Martínez, F. and Forcada, M. L."	http://www.mt-archive.info/10/EAMT-2012-Tyers.pdf		"Poster Session 4 – Research Papers"
"Statistical Post-Editing of Machine Translation for Domain Adaptation"	"Rubino, R. and Huet, S. and Lefèvre, F. and Linarès, G."	http://www.mt-archive.info/10/EAMT-2012-Rubino.pdf		"Poster Session 4 – Research Papers"
"Crowd-based MT Evaluation for non-English Target Languages"	"Paul, M. and Sumita, E. and Bentivogli, L. and Federico, M."	http://www.mt-archive.info/10/EAMT-2012-Paul.pdf		"Poster Session 4 – Research Papers"
"Readability and Translatability Judgments for “Controlled Japanese”"	"Hartley, A. and Tatsumi, M. and Isahara, H. and Kageura, K. and Miyata, R."	http://www.mt-archive.info/10/EAMT-2012-Hartley.pdf		"Poster Session 4 – Research Papers"
"A Phrase Table without Phrases: Rank Encoding for Better Phrase Table Compression"	"Junczys‐Dowmunt, M."	http://www.mt-archive.info/10/EAMT-2012-Junczys-Dowmunt.pdf		"Poster Session 4 – Research Papers"
"Creating Term and Lexicon Entries from Phrase Tables"	"Thurmair, G. and Aleksić, V."	http://www.mt-archive.info/10/EAMT-2012-Thurmair-2.pdf		"Poster Session 4 – Research Papers"
"WIT3: Web Inventory of Transcribed and Translated Talks"	"Cettolo, M. and Girardi, C. and Federico, M."	http://www.mt-archive.info/10/EAMT-2012-Cettolo.pdf		"Poster Session 4 – Research Papers"
"A Hybrid System for Patent Translation"	"Enache, R. and España‐Bonet, C. and Ranta, A. and Màrquez, L."	http://www.mt-archive.info/10/EAMT-2012-Enache.pdf		"Poster Session 4 – Research Papers"
"Hierarchical Sub‐sentential Alignment with Anymalign"	"Lardilleux, A. and Yvon, F. and Lepage, Y."	http://www.mt-archive.info/10/EAMT-2012-Lardilleux.pdf		"Oral Session 4 – Research Papers"
"Adjunct Alignment in Translation Data with an Application to Phrase Based Statistical Machine Translation"	"Arnoult, S. and Sima’an, K."	http://www.mt-archive.info/10/EAMT-2012-Arnoult.pdf		"Oral Session 4 – Research Papers"
"LTG vs. ITG Coverage of Cross-Lingual Verb Frame Alternations"	"Addanki, K. and Lo, C. and Saers, M. and Wu, D."	http://www.mt-archive.info/10/EAMT-2012-Addanki.pdf		"Oral Session 4 – Research Papers"
"Learning Machine Translation from In-domain and Out-of-domain Data"	"Turchi, M. and Goutte, C. and Cristianini, N."	http://www.mt-archive.info/10/EAMT-2012-Turchi-2.pdf		"Oral Session 5 – Research Papers"
"Discriminative Reordering Extensions for Hierarchical Phrase-Based Machine Translation"	"Huck, M. and Peitz, S. and Freitag, M. and Ney, H."	http://www.mt-archive.info/10/EAMT-2012-Huck.pdf		"Oral Session 5 – Research Papers"
"Pivot-based Machine Translation between Statistical and Black Box systems"	"Toral, A."	http://www.mt-archive.info/10/EAMT-2012-Toral-2.pdf		"Oral Session 5 – Research Papers"
