Conference title	Conference code	Year	Status	Publisher	Ready	URL	Editors	Dates held	Location	Complete PDF	Type	Notes	file_name	Joint
Translating and the Computer: Machine aids for translators	tc	1980		?? Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1980-TOC.htm	??VERONICA LAWSON	November 20	London, UK		TOC		1980.tc	
Translating and the Computer: Practical experience of machine translation	tc	1981		?? Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1981-TOC.htm	VERONICA LAWSON	November 5-6	London, UK		TOC		1981.tc	
Translating and the Computer: Term banks for tomorrow’s world: Translating and the Computer 4	tc	1982		?? Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1982-TOC.htm	Barbara Snell	November 11-12	London, UK		TOC		1982.tc	
Translating and the Computer: Tools for the trade: Translating and the Computer 5	tc	1983		?? Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1983-TOC.htm	Veronica Lawson	November 10-11	London, UK		TOC		1983.tc	
Translating and the Computer: Translation and communication	tc	1984		?? [London]: Aslib, 1985	TRUE	http://www.mt-archive.info/70/Aslib-1984-TOC.htm	CATRIONA PICKEN	November 20-21	London, UK		TOC		1984.tc	
Translating and the Computer 7	tc	1985		??London: Aslib, 1986	TRUE	http://www.mt-archive.info/70/Aslib-1985-TOC.htm	CATRIONA PICKEN	November 14-15	London, UK		TOC		1985.tc	
Translating and the Computer 8: a profession on the move	tc	1986		??London: Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1986-TOC.htm	 Catriona Picken	November 13-14	London, UK		TOC		1986.tc	
Translating and the Computer 9: potential and practice	tc	1987		??London: Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1987-TOC.htm	Catriona Picken	November 12-13	London, UK		TOC		1987.tc	
Translating and the Computer 10: the translation environment 10 years on	tc	1988		??London: Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1988-TOC.htm	PAMELA MAYORCAS	November 10-11	London, UK		TOC		1988.tc	
Translating and the Computer 11: preparing for the next decade	tc	1989		??London: Aslib	TRUE	http://www.mt-archive.info/70/Aslib-1989-TOC.htm	CATRIONA PICKEN	November 16-17	London, UK		TOC		1989.tc	
Translating and the Computer 12: applying technology to the translation process	tc	1990		??London: Aslib, 1991	TRUE	http://www.mt-archive.info/90/Aslib-1990-TOC.htm	Catriona Picken	November 8-9	London, UK		TOC		1990.tc	
Translating and the Computer 13: the theory and practice of machine translation – a marriage of convenience?	tc	1991		?? Not mentionned on TOC	TRUE	http://www.mt-archive.info/90/Aslib-1991-TOC.htm	?? Not mentionned on TOC	November 28-29	London, UK		TOC		1991.tc	
Translating and the Computer 14: quality standards and the implementation of technology in translation	tc	1992		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1992-TOC.htm	?? Not mentionned on TOC	November 10-11	London, UK		TOC		1992.tc	
Translating and the Computer 15	tc	1993		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1993-TOC.htm	?? Not mentionned on TOC	November 18-19	London, UK		TOC		1993.tc	
Translating and the Computer 16	tc	1994		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1994-TOC.htm	?? Not mentionned on TOC	November 10-11	London, UK		TOC		1994.tc	
Translating and the Computer 17	tc	1995		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1995-TOC.htm	?? Not mentionned on TOC	November 9-10	London, UK		TOC		1995.tc	
Translating and the Computer 18	tc	1996		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1996-TOC.htm	?? Not mentionned on TOC	November 14-15	London, UK		TOC		1996.tc	
Translating and the Computer 19	tc	1997		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1997-TOC.htm	?? Not mentionned on TOC	November 13-14	London, UK		TOC		1997.tc	
Translating and the Computer 20	tc	1998		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1998-TOC.htm	?? Not mentionned on TOC	November 12-13	London, UK		TOC		1998.tc	
Translating and the Computer 21	tc	1999		??London: Aslib	TRUE	http://www.mt-archive.info/90/Aslib-1999-TOC.htm	?? Not mentionned on TOC	November 10-11	London, UK		TOC		1999.tc	
Translating and the Computer 22	tc	2000		??London: Aslib	TRUE	http://www.mt-archive.info/00/Aslib-2000-TOC.htm	?? Not mentionned on TOC	November 16-17	London, UK		TOC		2000.tc	
Translating and the Computer 23	tc	2001		??London: Aslib	TRUE	http://www.mt-archive.info/00/Aslib-2001-TOC.htm	?? Not mentionned on TOC	November 29-30	London, UK		TOC		2001.tc	
Translating and the Computer 24	tc	2002		??London: Aslib	TRUE	http://www.mt-archive.info/00/Aslib-2002-TOC.htm	?? Not mentionned on TOC	November 21-22	London, UK		TOC		2002.tc	
Translating and the Computer 25	tc	2003		??London: Aslib	TRUE	http://www.mt-archive.info/00/Aslib-2003-TOC.htm	?? Not mentionned on TOC	November 20-21	London, UK		TOC		2003.tc	
Translating and the Computer 26	tc	2004		??London: Aslib	TRUE	http://www.mt-archive.info/00/Aslib-2004-TOC.htm	?? Not mentionned on TOC	November 18-19	London, UK		TOC		2004.tc	
Translating and the Computer 27	tc	2005		??London: Aslib	TRUE	http://www.mt-archive.info/05/Aslib-2005-TOC.htm	?? Not mentionned on TOC	November 24-25	London, UK		TOC		2005.tc	
Translating and the Computer 28	tc	2006		??London: Aslib	TRUE	http://www.mt-archive.info/05/Aslib-2006-TOC.htm	?? Not mentionned on TOC	November 16-17	London, UK		TOC		2006.tc	
Translating and the Computer 29	tc	2007		??London: Aslib	TRUE	http://www.mt-archive.info/05/Aslib-2007-TOC.htm	?? Not mentionned on TOC	November 29-30	London, UK		TOC		2007.tc	
Translating and the Computer 30	tc	2008		??London: Aslib	TRUE	http://www.mt-archive.info/05/Aslib-2008-TOC.htm	?? Not mentionned on TOC	November 27-28	London, UK		TOC		2008.tc	
Translating and the Computer 31	tc	2009		??London: Aslib	TRUE	http://www.mt-archive.info/05/Aslib-2009-TOC.htm	?? Not mentionned on TOC	November 19-20	London, UK		TOC		2009.tc	
Translating and the Computer 32	tc	2010		??London: Aslib	TRUE	http://www.mt-archive.info/10/Aslib-2010-TOC.htm	?? Not mentionned on TOC	November 18-19	London, UK		TOC		2010.tc	
Translating and the Computer 33	tc	2011		??London: Aslib	TRUE	http://www.mt-archive.info/10/Aslib-2011-TOC.htm	?? Not mentionned on TOC	November 17-18	London, UK		TOC		2011.tc	
Translating and the Computer 34	tc	2012		??London: Aslib	TRUE	http://www.mt-archive.info/10/Aslib-2012-TOC.htm	?? Not mentionned on TOC	November 29-30	London, UK		TOC		2012.tc	
