Title	Authors	Pdf	Presentation	Volume_Name	Notes
Definite Noun Phrases in Statistical Machine Translation into Scandinavian Languages	Stymne, Sara	http://www.mt-archive.info/10/EAMT-2011-Stymne.pdf	http://www.mt-archive.info/10/EAMT-2011-Stymne-ppt.pdf		Research Papers
Towards  Using Web-Crawled Data for Domain Adaptation in Statistical Machine Translation	Pecina, Pavel and Toral, Antonio and Way, Andy and Papavassiliou, Vassilis and Prokopidis, Prokopis and Giagkou, Maria	http://www.mt-archive.info/10/EAMT-2011-Pecina.pdf			Research Papers
Discriminative Weighted Alignment Matrices For Statistical Machine Translation	Tomeh, Nadi and Allauzen, Alexandre and Yvon, François	http://www.mt-archive.info/10/EAMT-2011-Tomeh.pdf	http://www.mt-archive.info/10/EAMT-2011-Tomeh-ppt.pdf		Research Papers
Principled Induction of Phrasal Bilexica	Saers, Markus and Wu, Dekai	http://www.mt-archive.info/10/EAMT-2011-Saers.pdf			Research Papers
Accurat		http://www.mt-archive.info/10/EAMT-2011-ACCURAT.pdf			European Machine Translation Projects
ATLAS		http://www.mt-archive.info/10/EAMT-2011-ATLAS.pdf			European Machine Translation Projects
Bologna		http://www.mt-archive.info/10/EAMT-2011-BOLOGNA.pdf			European Machine Translation Projects
CoSyne		http://www.mt-archive.info/10/EAMT-2011-CoSyne.pdf			European Machine Translation Projects
EASTIN-CL		http://www.mt-archive.info/10/EAMT-2011-EASTIN.pdf			European Machine Translation Projects
FAUST		http://www.mt-archive.info/10/EAMT-2011-FAUST.pdf			European Machine Translation Projects
iTranslate4		http://www.mt-archive.info/10/EAMT-2011-iTranslate4.pdf			European Machine Translation Projects
LetsMT		http://www.mt-archive.info/10/EAMT-2011-LetsMT.pdf			European Machine Translation Projects
LIWP		http://www.mt-archive.info/10/EAMT-2011-LIWP.pdf			European Machine Translation Projects
MOLTO		http://www.mt-archive.info/10/EAMT-2011-MOLTO.pdf			European Machine Translation Projects
Monnet		http://www.mt-archive.info/10/EAMT-2011-MONNET.pdf			European Machine Translation Projects
MORMED		http://www.mt-archive.info/10/EAMT-2011-MORMED.pdf			European Machine Translation Projects
PaCo-MT		http://www.mt-archive.info/10/EAMT-2011-PaCoMT.pdf			European Machine Translation Projects
PANACEA		http://www.mt-archive.info/10/EAMT-2011-PANACEA.pdf			European Machine Translation Projects
PLuTO		http://www.mt-archive.info/10/EAMT-2011-PLuTO.pdf			European Machine Translation Projects
PRESEMT		http://www.mt-archive.info/10/EAMT-2011-PRESEMT.pdf			European Machine Translation Projects
QUAERO-MSSE		http://www.mt-archive.info/10/EAMT-2011-QUAERO.pdf			European Machine Translation Projects
TTC		http://www.mt-archive.info/10/EAMT-2011-TTC.pdf			European Machine Translation Projects
